クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
新潟,アルビレックス新潟,11,2013,J1,J1,2548,963,674,215,143,553,2636,1077,283,277,128,39,832,-88,148,9,51,0,0,51,22,29,561,344,905,340,110,450,712,0,-257,455,7,55,1.6176,443906,17,26899,3,0,0,0,0,470805,20
清水,清水エスパルス,12,2013,J1,J1,3084,1219,523,225,319,798,3140,1251,208,228,197,0,1256,-56,19,2,-39,0,0,-39,1,-40,333,707,1041,380,163,544,550,0,-53,496,9,50,1.4706,240324,17,22454,3,0,0,0,0,262778,20
磐田,ジュビロ磐田,13,2013,J1,J1,3298,1645,446,206,249,752,3233,1369,328,253,182,0,1101,65,23,5,83,0,1,82,37,45,758,528,1286,486,62,548,679,0,59,738,17,23,0.6765,185207,17,20701,3,0,0,0,0,205908,20
名古屋,名古屋グランパス,29,2013,J1,J1,4226,2457,736,221,258,555,4304,2348,283,448,191,0,1034,-78,24,4,-58,0,0,-58,20,-78,254,335,589,403,172,575,400,0,-386,14,11,47,1.3824,274297,17,16739,3,0,0,0,0,291036,20
C大阪,セレッソ大阪,15,2013,J1,J1,3213,1499,954,220,0,540,3201,1212,464,652,0,0,873,12,0,4,8,0,0,8,2,6,470,314,784,539,60,599,315,0,-130,185,4,59,1.7353,319928,17,41175,4,0,0,0,0,361103,21
広島,サンフレッチェ広島,17,2013,J1,J1,3198,1373,541,232,99,953,3072,1449,263,279,126,0,954,126,26,5,147,0,0,147,17,130,851,283,1134,455,54,509,220,52,353,625,1,63,1.8529,275556,17,9427,1,0,0,17691,3,302674,21
鳥栖,サガン鳥栖,18,2013,J1,J1,1704,632,548,234,74,216,2039,1012,273,129,23,0,602,-335,38,0,-297,0,0,-297,2,-299,159,58,217,403,22,425,605,454,-1266,-207,12,46,1.3529,204438,17,13888,3,0,0,0,0,218326,20
大分,大分トリニータ,40,2013,J1,J1,1406,680,370,202,48,106,1191,556,75,144,70,2,344,215,13,6,222,0,1,221,0,221,186,55,241,375,231,606,2,0,-366,-364,18,14,0.4118,202557,17,16143,3,0,0,0,0,218700,20
札幌,コンサドーレ札幌,1,2013,J2,J1,1071,432,330,103,54,152,1236,359,212,176,59,0,430,-165,180,7,8,0,0,8,2,6,618,67,685,165,551,716,876,0,-907,-31,8,64,1.5238,211568,21,0,0,0,0,0,0,211568,21
山形,モンテディオ山形,19,2013,J2,J1,1041,258,202,99,61,421,1030,468,63,137,64,0,298,11,0,0,11,0,0,11,0,11,131,12,143,118,0,118,0,0,0,25,10,59,1.4048,147416,21,0,0,0,0,0,0,147416,21
水戸,水戸ホーリーホック,20,2013,J2,J2,508,189,90,90,38,101,507,230,35,65,10,0,167,1,2,1,2,2,0,4,0,4,142,19,161,82,19,101,80,103,-123,60,15,55,1.3095,97237,21,0,0,0,0,0,0,97237,21
栃木,栃木SC,44,2013,J2,J1,876,474,145,95,64,99,955,410,76,110,32,0,326,-78,1,2,-79,35,1,-45,2,-47,258,22,280,331,12,343,305,105,-473,-63,9,63,1.5000,103360,21,0,0,0,0,0,0,103360,21
群馬,ザスパクサツ群馬,21,2013,J2,J1,469,217,84,93,4,72,494,163,58,78,9,0,186,-25,11,3,-17,0,0,-17,1,-18,108,11,119,175,0,175,234,76,-366,-56,20,40,0.9524,74990,21,0,0,0,0,0,0,74990,21
千葉,ジェフユナイテッド千葉,22,2013,J2,J1,2330,1515,353,100,55,307,2217,994,146,262,73,66,676,113,3,8,108,0,0,107,10,97,311,1064,1375,509,325,835,490,390,-340,540,5,66,1.5714,210078,21,0,0,0,0,0,0,210078,21
東京V,東京ヴェルディ,23,2013,J2,J1,1236,534,204,89,174,235,1303,357,144,260,91,36,415,-67,0,2,-69,0,1,-70,0,-70,376,22,398,309,80,389,276,237,-504,9,13,56,1.3333,133201,21,0,0,0,0,0,0,133201,21
横浜FC,横浜FC,25,2013,J2,J1,1152,579,177,92,46,258,1130,482,71,185,38,0,353,22,0,0,23,0,18,5,2,3,355,138,493,360,101,461,344,115,-427,32,11,58,1.3810,127354,21,0,0,0,0,0,0,127354,21
松本,松本山雅FC,27,2013,J2,J1,939,386,199,99,5,249,939,368,100,115,5,0,352,0,4,0,4,0,0,4,2,2,163,59,222,52,3,55,128,0,39,167,7,66,1.5714,231866,21,0,0,0,0,0,0,231866,21
富山,カターレ富山,48,2013,J2,J1,701,393,84,92,52,80,679,273,59,123,22,0,202,22,1,0,23,0,0,23,0,23,224,4,228,169,4,173,97,28,-70,55,18,44,1.0476,93960,21,0,0,0,0,0,0,93960,21
岐阜,FC岐阜,30,2013,J2,J2,576,266,74,90,41,105,611,241,67,101,33,0,169,-35,0,9,-44,140,0,96,8,88,125,4,129,202,20,222,147,145,-385,-93,21,37,0.8810,95032,21,0,0,0,0,0,0,95032,21
京都,京都サンガF.C.,31,2013,J2,J1,1930,1235,260,107,134,194,1681,692,135,156,145,0,553,249,17,3,263,0,0,263,112,151,943,102,1045,542,30,572,3605,0,-3132,473,3,70,1.6667,165717,21,0,0,12387,1,0,0,178104,22
G大阪,ガンバ大阪,14,2013,J2,J1,2786,1696,465,105,138,382,2839,1486,233,194,114,0,812,-53,29,-35,11,0,0,11,74,-63,299,436,735,516,50,566,10,0,159,169,1,87,2.0714,257996,21,0,0,0,0,0,0,257996,21
神戸,ヴィッセル神戸,16,2013,J2,J1,1960,682,339,104,231,604,2401,1160,187,304,115,0,635,-441,12,5,-434,68,3,-369,1,-370,383,227,610,240,1991,2231,98,563,-2283,-1622,2,83,1.9762,241841,21,0,0,0,0,0,0,241841,21
鳥取,ガイナーレ鳥取,51,2013,J2,J2,646,268,99,112,40,126,635,207,44,61,27,0,297,11,0,8,3,0,0,3,1,2,23,439,462,184,225,409,160,96,-203,53,22,31,0.7381,86033,21,0,0,6313,1,0,0,92346,22
岡山,ファジアーノ岡山,32,2013,J2,J1,1034,439,161,98,75,261,994,411,70,81,18,0,414,40,0,5,35,0,0,35,1,34,386,34,420,283,10,293,98,36,-7,127,12,56,1.3333,180056,21,0,0,0,0,0,0,180056,21
徳島,徳島ヴォルティス,35,2013,J2,J1,1211,821,105,95,58,133,1148,601,52,142,28,0,325,64,6,1,68,0,0,68,34,35,602,158,760,197,20,217,409,0,134,543,4,67,1.5952,91303,21,0,0,9301,1,0,0,100604,22
愛媛,愛媛FC,36,2013,J2,J1,522,217,56,110,47,92,582,255,29,104,30,5,159,-60,0,0,-60,1,2,-61,1,-62,72,35,107,31,0,31,209,-1,-132,76,17,47,1.1190,82952,21,0,0,0,0,0,0,82952,21
福岡,アビスパ福岡,37,2013,J2,J1,871,324,180,94,171,102,966,390,73,161,58,0,284,-95,19,10,-86,0,0,-86,1,-87,86,259,345,328,45,373,126,196,-350,-28,14,56,1.3333,120270,21,0,0,0,0,0,0,120270,21
北九州,ギラヴァンツ北九州,52,2013,J2,J2,686,272,88,90,50,186,673,249,48,99,26,0,251,14,0,2,12,0,0,12,1,11,105,28,133,101,43,144,156,0,-166,-11,16,49,1.1667,66665,21,0,0,0,0,0,0,66665,21
長崎,V・ファーレン長崎,38,2013,J2,J1,718,248,132,100,36,203,728,229,115,78,26,0,279,-9,0,2,-11,0,0,-11,0,-11,192,26,218,185,2,187,221,0,-190,31,6,66,1.5714,129517,21,0,0,0,0,0,0,129517,21
熊本,ロアッソ熊本,39,2013,J2,J1,680,278,118,100,23,161,671,261,42,103,17,0,248,9,5,2,12,0,0,12,2,10,164,13,177,200,38,238,273,0,-334,-61,19,43,1.0238,130769,21,0,0,0,0,0,0,130769,21
盛岡,グルージャ盛岡,41,2013,地域,J3,75,39,0,0,18,18,84,37,3,8,3,0,33,-9,6,1,-4,0,0,-4,0,-4,25,18,43,23,14,37,58,0,-52,6,1,49,2.7222,6733,9,0,0,0,0,0,0,6733,9
秋田,ブラウブリッツ秋田,42,2013,JFL,J3,188,103,11,6,27,41,207,70,4,29,12,2,90,-20,26,2,4,0,0,4,0,4,9,18,27,31,83,114,56,0,-143,-87,8,50,1.4706,30057,17,0,0,0,0,0,0,30057,17
福島,福島ユナイテッドFC,43,2013,JFL,J3,207,134,11,0,16,46,204,52,15,32,12,0,93,2,1,0,3,2,0,5,1,4,76,6,82,37,6,43,39,0,0,39,14,34,1.0000,17464,17,0,0,0,0,0,0,17464,17
町田,町田ゼルビア,24,2013,JFL,J2,363,204,32,52,6,69,357,115,32,49,13,0,148,6,1,4,3,0,0,3,1,2,75,36,111,19,72,91,142,95,-217,20,4,61,1.7941,53956,17,0,0,0,0,0,0,53956,17
YS横浜,Y.S.C.C.横浜,45,2013,JFL,J3,145,22,7,3,93,20,147,2,5,22,28,2,88,-2,3,0,1,0,0,1,0,1,50,7,57,40,0,40,0,0,0,17,12,39,1.1471,13310,17,0,0,0,0,0,0,13310,17
相模原,SC相模原,46,2013,JFL,J3,111,81,15,0,0,15,115,35,7,15,0,0,58,-4,4,1,-1,0,0,-1,0,-1,23,4,27,23,4,27,9,0,-8,0,3,61,1.7941,32705,17,0,0,0,0,0,0,32705,17
長野,AC長野パルセイロ,47,2013,JFL,J3,308,228,23,7,11,39,337,154,7,57,13,8,98,-29,0,0,-29,0,0,-29,0,-29,40,2,42,27,0,27,74,9,-68,15,1,72,2.1176,39768,17,0,0,0,0,0,0,39768,17
金沢,ツエーゲン金沢,28,2013,JFL,J2,278,189,8,0,21,60,277,100,22,41,13,0,101,0,2,0,2,0,0,2,0,2,42,23,65,18,0,18,100,0,-53,47,7,50,1.4706,35074,17,0,0,0,0,0,0,35074,17
藤枝,藤枝MYFC,49,2013,JFL,J3,95,71,6,0,0,19,126,32,6,17,0,0,72,-30,4,0,-26,0,0,-26,0,-26,31,65,96,34,3,37,116,113,-169,60,13,36,1.0588,16209,17,0,0,0,0,0,0,16209,17
讃岐,カマタマーレ讃岐,34,2013,JFL,J2,220,90,25,1,26,78,219,84,14,37,10,0,74,1,5,2,4,0,0,4,0,4,119,29,148,111,7,118,77,76,-123,30,2,68,2.0000,53129,17,0,0,5793,1,0,0,58922,18
琉球,FC琉球,54,2013,JFL,J3,66,23,5,0,9,29,146,59,3,14,3,0,66,-80,3,0,-77,0,0,-77,0,-78,73,9,82,39,0,39,121,0,-78,43,11,46,1.3529,35180,17,0,0,0,0,0,0,35180,17
