クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
仙台,ベガルタ仙台,2,2013,J1,J1,2429,901,757,225,88,458,2431,1169,144,189,68,56,805,-2,30,1,27,0,0,27,18,9,630,578,1208,180,347,527,454,0,227,681,13,45,1.3235,252725,17,11176,1,0,0,30321,3,294222,21
鹿島,鹿島アントラーズ,3,2013,J1,J1,4122,1864,748,235,269,1006,4081,1701,384,310,166,0,1520,41,47,2,86,0,0,86,8,78,925,1214,2139,455,94,549,1570,147,-127,1590,5,59,1.7353,279115,17,34383,4,0,0,0,0,313498,21
浦和,浦和レッズ,4,2013,J1,J1,5786,2319,2132,258,15,1062,5633,2016,497,434,102,62,2522,153,12,3,161,0,0,161,69,92,562,717,1279,574,86,659,160,0,460,620,6,58,1.7059,630701,17,49940,2,0,0,64938,3,745579,22
大宮,大宮アルディージャ,5,2013,J1,J1,3228,2296,341,214,142,235,3226,1606,226,472,68,0,854,2,9,10,1,0,0,1,1,0,324,912,1236,587,638,1225,100,240,-329,11,14,45,1.3235,189342,17,14847,3,0,0,0,0,204189,20
柏,柏レイソル,6,2013,J1,J1,3412,1947,646,204,71,544,3380,2118,198,266,40,0,758,32,16,35,13,0,0,13,10,3,182,2056,2238,1232,9,1241,100,932,-35,997,10,48,1.4118,213406,17,18307,2,0,0,51952,6,283665,25
FC東京,FC東京,7,2013,J1,J1,3545,1422,788,206,422,707,3482,1637,373,284,255,0,933,63,29,3,89,0,0,89,22,67,1839,118,1957,560,0,560,1065,0,332,1397,8,54,1.5882,426246,17,33663,3,0,0,0,0,459909,20
川崎F,川崎フロンターレ,8,2013,J1,J1,3214,1702,540,218,164,590,3170,1557,174,262,75,0,1102,44,2,0,46,0,0,46,25,21,807,434,1241,495,112,607,349,31,255,635,3,60,1.7647,282952,17,53942,5,0,0,0,0,336894,22
横浜FM,横浜F・マリノス,9,2013,J1,J1,4315,1513,1069,228,455,1048,4306,1701,341,443,314,0,1506,9,3,12,0,1000,0,1000,0,1000,1711,67,1778,2301,155,2456,31,0,-708,-677,2,62,1.8235,467425,17,50624,5,0,0,0,0,518049,22
湘南,湘南ベルマーレ,26,2013,J1,J1,1191,387,263,191,0,350,1211,530,82,98,0,0,501,-20,12,3,-11,0,0,-11,0,-11,248,90,338,259,59,318,630,260,-870,20,16,25,0.7353,168481,17,16784,3,0,0,0,0,185265,20
甲府,ヴァンフォーレ甲府,10,2013,J1,J1,1481,683,403,208,36,151,1460,707,101,172,21,0,459,21,9,6,24,7,20,11,8,3,354,214,568,237,36,273,367,0,-72,295,15,37,1.0882,214441,17,18917,3,0,0,0,0,233358,20
