,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
岡山,ファジアーノ岡山,32,2019,J2,J1,1567,798,186,153,114,111,205,1565,634,177,107,33,0,98,516,2,0,0,2,0,0,2,1,1,0,495,79,575,418,2,421,98,36,19,153,9,65,1.5476,198331,21,0,0,0,0,0,0,0,0,198331,21
山口,レノファ山口FC,33,2019,J2,J1,1289,634,216,162,42,123,113,1282,527,130,140,86,2,73,323,7,2,0,9,1,1,9,2,7,98,221,42,264,211,2,214,99,0,-49,50,15,47,1.1190,118718,21,0,0,0,0,0,0,0,0,118718,21
徳島,徳島ヴォルティス,35,2019,J2,J1,1763,1147,172,152,64,74,154,1641,892,98,197,64,0,67,323,122,2,0,124,4,0,128,41,87,44,1461,138,1599,294,27,321,409,0,869,1278,4,73,1.7381,120460,21,0,0,22232,2,0,0,0,0,142692,23
愛媛,愛媛FC,36,2019,J2,J1,777,324,61,155,82,61,94,860,406,44,87,62,27,45,189,-83,10,2,-75,0,0,-75,0,-75,0,82,116,198,89,7,96,309,-1,-206,102,19,42,1.0000,79373,21,0,0,0,0,0,0,0,0,79373,21
福岡,アビスパ福岡,37,2019,J2,J1,1577,693,137,155,198,93,301,1680,784,113,289,103,0,63,328,-103,1,5,-107,0,0,-107,0,-107,0,366,284,650,468,113,581,176,246,-353,69,16,44,1.0476,146639,21,0,0,0,0,0,0,0,0,146639,21
長崎,V・ファーレン長崎,38,2019,J2,J1,2564,1557,257,277,41,207,225,2555,1029,214,268,91,0,143,810,9,3,2,10,0,0,10,-46,56,0,559,70,629,453,3,456,350,0,-177,173,12,56,1.3333,162476,21,17065,4,0,0,0,0,0,0,179541,25
鹿児島,鹿児島ユナイテッドFC,53,2019,J2,J1,790,401,104,148,0,58,79,784,296,91,154,0,0,30,213,6,0,3,3,0,0,3,0,3,103,90,84,174,48,78,126,26,26,-4,48,21,40,0.9524,121493,21,0,0,0,0,0,0,0,0,121493,21
琉球,FC琉球,54,2019,J2,J1,632,181,47,150,58,42,154,663,252,71,78,39,0,42,181,-31,0,2,-33,0,1,-34,0,-34,0,172,31,204,119,20,139,440,23,-398,65,14,49,1.1667,104009,21,0,0,0,0,0,0,0,0,104009,21
八戸,ヴァンラーレ八戸,55,2019,J3,J3,302,152,10,27,0,19,94,313,81,14,48,0,0,16,154,-11,20,3,6,0,0,6,0,6,38,101,118,220,106,104,211,59,0,-50,8,10,48,1.4118,29919,17,0,0,0,0,0,0,0,0,29919,17
岩手,いわてグルージャ盛岡,41,2019,J3,J3,263,144,8,26,35,13,37,320,114,22,53,20,0,21,90,-57,11,1,-47,0,0,-47,2,-49,0,116,8,125,99,6,106,284,0,-265,18,18,26,0.7647,23249,17,0,0,0,0,0,0,0,0,23249,17
秋田,ブラウブリッツ秋田,42,2019,J3,J2,461,266,20,27,47,11,90,477,161,25,84,32,0,11,164,-16,9,1,-8,0,0,-8,0,-8,0,38,23,61,27,17,44,24,18,-25,17,8,49,1.4412,26793,17,0,0,0,0,0,0,0,0,26793,17
福島,福島ユナイテッドFC,43,2019,J3,J3,325,214,14,27,21,25,24,361,124,34,49,10,0,17,127,-36,1,0,-35,0,0,-35,0,-35,9,47,4,51,25,1,26,84,0,-59,24,11,43,1.2647,21115,17,0,0,0,0,0,0,0,0,21115,17
群馬,ザスパクサツ群馬,21,2019,J3,J1,465,285,44,29,0,29,78,444,184,43,63,12,0,16,126,21,12,0,33,0,0,33,8,25,75,150,13,164,110,0,110,272,115,-334,53,2,63,1.8529,61098,17,0,0,0,0,0,0,0,0,61098,17
YS横浜,Y.S.C.C.横浜,45,2019,J3,J3,204,39,12,26,71,16,40,209,32,27,40,44,2,13,51,-5,6,0,1,0,0,1,0,1,0,53,3,56,38,15,54,0,0,0,2,13,39,1.1471,18617,17,0,0,0,0,0,0,0,0,18617,17
相模原,SC相模原,46,2019,J3,J3,348,230,38,27,0,26,27,363,121,24,39,0,0,19,160,-15,9,0,-7,0,0,-7,1,-8,75,68,16,84,55,23,78,24,0,-18,6,15,38,1.1176,48940,17,0,0,0,0,0,0,0,0,48940,17
長野,AC長野パルセイロ,47,2019,J3,J2,675,419,45,27,49,6,129,703,294,30,85,26,36,1,231,-28,0,0,-28,0,0,-28,0,-28,0,89,4,93,72,1,73,100,35,-115,20,9,49,1.4412,51006,17,0,0,0,0,0,0,0,0,51006,17
富山,カターレ富山,48,2019,J3,J1,522,341,30,26,55,22,48,548,200,37,100,27,0,18,166,-26,0,0,-26,0,0,-26,0,-26,0,95,12,107,51,13,64,97,28,-82,43,4,58,1.7059,46535,17,0,0,0,0,0,0,0,0,46535,17
藤枝,藤枝MYFC,49,2019,J3,J3,324,254,11,27,11,7,14,351,164,27,67,4,3,6,80,-27,1,0,-26,0,57,-83,0,-83,0,60,0,61,52,0,52,70,238,-300,8,3,63,1.8529,29581,17,0,0,0,0,0,0,0,0,29581,17
沼津,アスルクラロ沼津,50,2019,J3,J3,401,220,12,28,51,37,53,400,116,33,47,3,0,29,172,1,7,2,6,0,4,2,0,2,187,73,140,213,107,60,168,96,16,-66,45,12,39,1.1471,41992,17,0,0,0,0,0,0,0,0,41992,17
鳥取,ガイナーレ鳥取,51,2019,J3,J2,455,221,32,26,47,37,92,477,114,19,45,30,0,2,267,-22,0,10,-32,0,10,-42,0,-42,0,79,305,384,109,272,381,231,167,-395,3,7,50,1.4706,37889,17,0,0,0,0,0,0,0,0,37889,17
讃岐,カマタマーレ讃岐,34,2019,J3,J2,561,241,45,117,45,29,84,575,263,46,84,31,0,20,131,-14,2,6,-18,0,6,-24,0,-24,0,183,0,183,52,0,52,77,76,-22,131,14,39,1.1471,35906,17,0,0,0,0,0,0,0,0,35906,17
北九州,ギラヴァンツ北九州,52,2019,J3,J1,804,384,124,27,106,50,113,776,250,65,93,56,0,39,273,28,0,1,28,0,1,26,5,22,0,165,21,185,92,12,104,232,0,-150,81,1,66,1.9412,102831,17,0,0,0,0,0,0,0,0,102831,17
熊本,ロアッソ熊本,39,2019,J3,J1,850,366,83,128,30,50,193,815,310,49,108,49,0,44,255,35,2,0,37,0,0,37,10,27,24,310,24,334,216,15,231,345,0,-242,103,5,57,1.6765,94065,17,0,0,0,0,0,0,0,0,94065,17
今治,FC今治,56,2019,JFL,J3,719,409,29,0,38,35,208,710,202,63,82,25,3,21,314,9,27,0,36,0,0,36,1,35,0,292,116,408,186,94,280,58,47,22,127,3,51,1.7,46512,15,0,0,0,0,0,0,0,0,46512,15
