クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
鹿島,鹿島アントラーズ,3,J1,2007,3983,1667,636,503,1177,3805,1736,1114,955,178,184,162,2337,635,1570,-14,1702,1,72,2.1176,276058,17,40799,5,0,0,0,0,316857,22
浦和,浦和レッズ,4,J1,2007,7964,2384,3008,835,1737,7744,2841,4117,786,220,235,62,2262,1717,160,384,544,2,70,2.0588,793347,17,44609,1,0,0,248712,6,1086668,24
大宮,大宮アルディージャ,5,J1,2007,2842,1960,305,248,329,2840,1384,1019,437,2,0,8,1044,1031,100,-327,12,15,35,1.0294,194912,17,13945,3,0,0,0,0,208857,20
千葉,ジェフユナイテッド千葉,22,J1,2007,3112,1347,568,267,930,2692,1310,1102,280,420,418,94,1041,600,100,341,441,13,42,1.2353,240535,17,21575,3,0,0,0,0,262110,20
柏,柏レイソル,6,J1,2007,3143,1930,411,258,544,3105,1693,948,464,38,40,37,758,855,22,-118,-96,8,50,1.4706,220442,17,17928,3,0,0,0,0,238370,20
FC東京,FC東京,7,J1,2007,3347,1243,778,278,1048,3581,1680,1076,825,-234,-235,-236,703,182,815,-294,520,12,45,1.3235,429934,17,54118,4,0,0,0,0,484052,21
川崎F,川崎フロンターレ,8,J1,2007,3105,1683,524,385,513,3096,1639,961,496,9,48,24,1104,588,349,135,515,5,54,1.5882,294751,17,26055,2,0,0,43846,4,364652,23
横浜FM,横浜F・マリノス,9,J1,2007,4909,2626,837,293,1153,4674,1961,1771,942,235,214,-1,2425,2510,30,-122,-85,7,50,1.4706,408656,17,50451,5,0,0,0,0,459107,22
横浜FC,横浜FC,25,J1,2007,1706,647,471,274,314,1861,862,663,336,-155,-153,-155,474,570,228,-323,-95,18,16,0.4706,238662,17,11781,3,0,0,0,0,250443,20
甲府,ヴァンフォーレ甲府,10,J1,2007,1655,768,436,276,175,1506,741,359,406,149,152,54,566,381,367,-182,184,17,27,0.7941,233476,17,35281,4,0,0,0,0,268757,21
新潟,アルビレックス新潟,11,J1,2007,2661,977,906,277,501,2953,1374,898,681,-292,-198,-202,1145,882,712,-450,262,6,51,1.5000,650698,17,84344,3,0,0,0,0,735042,20
清水,清水エスパルス,12,J1,2007,3180,1317,577,338,948,3166,1263,1323,580,14,18,17,1105,613,550,-58,491,4,61,1.7941,271180,17,22658,3,0,0,0,0,293838,20
磐田,ジュビロ磐田,13,J1,2007,3594,2127,524,277,666,3515,1575,1270,670,79,86,85,1158,777,679,-297,381,9,49,1.4412,278109,17,24087,3,0,0,0,0,302196,20
名古屋,名古屋グランパスエイト,29,J1,2007,3635,2247,626,272,490,3592,1770,1291,531,43,65,70,764,288,400,75,475,11,45,1.3235,264939,17,12074,3,0,0,0,0,277013,20
G大阪,ガンバ大阪,14,J1,2007,3212,1437,534,488,753,3304,1927,708,669,-92,67,67,1216,1121,10,85,95,3,67,1.9706,296465,17,43196,5,0,0,0,0,339661,22
神戸,ヴィッセル神戸,16,J1,2007,1865,660,329,243,633,2422,1317,609,496,-557,-74,-75,1012,917,98,-563,95,10,47,1.3824,211822,17,14487,3,0,0,0,0,226309,20
広島,サンフレッチェ広島,17,J1,2007,2626,1193,438,285,710,2567,1236,845,486,59,55,53,1088,535,2110,-1556,553,16,32,0.9412,194199,17,22746,4,23162,1,0,0,240107,22
大分,大分トリニータ,40,J1,2007,2261,968,492,248,553,2172,1283,643,246,89,78,76,1047,1610,463,-1089,-563,14,41,1.2059,335896,17,33446,3,0,0,0,0,369342,20
札幌,コンサドーレ札幌,1,J2,2007,1255,433,464,144,214,1442,537,677,228,-187,8,6,983,1175,2556,-2748,-192,1,91,1.8958,290676,24,0,0,0,0,0,0,290676,24
仙台,ベガルタ仙台,2,J2,2007,1543,399,658,124,362,1601,732,657,212,-58,35,6,777,323,2328,-1874,453,4,83,1.7292,352432,24,0,0,0,0,0,0,352432,24
山形,モンテディオ山形,19,J2,2007,539,93,89,119,238,510,251,151,108,29,29,29,163,38,0,124,124,9,58,1.2083,101836,24,0,0,0,0,0,0,101836,24
水戸,水戸ホーリーホック,20,J2,2007,301,62,43,130,66,337,140,100,97,-36,-40,-40,112,128,104,-142,-15,12,34,0.7083,57957,24,0,0,0,0,0,0,57957,24
草津,ザスパ草津,21,J2,2007,553,258,87,122,86,525,184,202,139,28,26,22,83,150,159,-228,-66,11,42,0.8750,91401,24,0,0,0,0,0,0,91401,24
東京V,東京ヴェルディ,23,J2,2007,2672,300,200,142,2030,2662,1290,1037,335,10,4,4,669,662,89,-81,7,2,89,1.8542,175850,24,0,0,0,0,0,0,175850,24
湘南,湘南ベルマーレ,26,J2,2007,970,370,141,118,341,970,504,259,207,0,3,1,288,220,434,-431,68,6,77,1.6042,112254,24,0,0,0,0,0,0,112254,24
京都,京都サンガF.C.,31,J2,2007,2125,1460,301,131,233,2085,1051,632,402,40,46,11,822,552,3605,-3334,270,3,86,1.7917,159105,24,0,0,12637,1,0,0,171742,25
C大阪,セレッソ大阪,15,J2,2007,2066,1102,200,109,655,2045,889,608,548,21,24,208,486,170,315,1,316,5,80,1.6667,159044,24,0,0,0,0,0,0,159044,24
徳島,徳島ヴォルティス,35,J2,2007,634,267,25,115,227,674,334,173,167,-40,-40,-40,446,74,409,-37,371,13,33,0.6875,78936,24,0,0,0,0,0,0,78936,24
