クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
福岡,アビスパ福岡,37,2018,J2,J1,1831,990,174,154,177,97,239,1829,909,107,258,98,0,73,384,2,4,3,3,0,0,3,1,2,0,530,280,810,551,83,634,176,246,-246,176,7,70,1.6667,186323,21,0,0,0,0,0,0,0,0,186323,21
熊本,ロアッソ熊本,39,2018,J2,J1,933,431,106,160,22,67,147,911,400,53,104,33,0,54,267,22,1,0,23,0,1,22,6,16,22,285,28,313,220,17,237,345,0,-269,76,21,34,0.8095,110643,21,0,0,0,0,0,0,0,0,110643,21
大分,大分トリニータ,40,2018,J2,J1,1128,486,254,150,39,33,166,1089,482,77,130,66,3,10,321,39,3,1,41,0,0,41,4,37,0,302,52,354,235,0,235,40,40,38,119,2,76,1.8095,187052,21,0,0,0,0,0,0,0,0,187052,21
盛岡,グルージャ盛岡,41,2018,J3,J3,483,118,9,35,38,15,268,497,268,9,71,25,0,10,114,-14,12,8,-10,25,0,15,4,11,0,116,8,124,88,15,103,234,0,-213,21,13,40,1.2500,19461,16,0,0,0,0,0,0,0,0,19461,16
秋田,ブラウブリッツ秋田,42,2018,J3,J2,435,255,20,27,47,13,73,438,148,16,66,34,0,12,162,-3,6,1,2,0,0,2,0,2,0,69,30,99,28,47,75,24,18,-17,25,8,43,1.3438,45420,16,0,0,0,0,0,0,0,0,45420,16
福島,福島ユナイテッドFC,43,2018,J3,J3,367,246,12,26,32,26,25,383,125,34,50,18,0,18,138,-16,2,0,-14,0,0,-14,0,-14,13,43,4,47,29,2,32,39,0,-23,15,12,40,1.2500,25214,16,0,0,0,0,0,0,0,0,25214,16
群馬,ザスパクサツ群馬,21,2018,J3,J1,462,228,43,119,0,22,50,499,223,42,77,8,0,16,133,-37,5,0,-32,0,1,-33,2,-35,76,73,4,77,49,0,49,272,115,-359,28,5,52,1.6250,53531,16,0,0,0,0,0,0,0,0,53531,16
YS横浜,Y.S.C.C.横浜,45,2018,J3,J3,205,44,14,34,84,10,19,207,44,16,29,47,2,7,62,-2,2,0,0,0,0,0,0,0,0,49,3,52,29,21,50,0,0,0,2,15,34,1.0625,16077,16,0,0,0,0,0,0,0,0,16077,16
相模原,SC相模原,46,2018,J3,J3,331,212,35,26,0,31,27,336,109,24,29,0,0,22,152,-5,5,1,-1,0,0,-1,0,-1,83,86,17,103,70,23,93,21,0,-11,10,9,42,1.3125,55331,16,0,0,0,0,0,0,0,0,55331,16
長野,AC長野パルセイロ,47,2018,J3,J2,675,417,46,28,26,10,148,722,293,30,83,28,37,3,248,-47,0,0,-47,0,0,-47,0,-47,0,73,6,79,71,2,73,79,14,-87,6,10,41,1.2813,56869,16,0,0,0,0,0,0,0,0,56869,16
富山,カターレ富山,48,2018,J3,J1,482,321,28,34,53,22,24,523,195,36,86,25,0,15,166,-41,2,0,-39,0,0,-39,0,-39,0,170,14,184,101,13,114,97,28,-55,70,11,41,1.2813,42718,16,0,0,0,0,0,0,0,0,42718,16
藤枝,藤枝MYFC,49,2018,J3,J3,291,228,8,26,4,5,20,290,119,14,56,8,2,4,87,1,1,0,2,0,0,2,0,2,0,89,0,89,49,0,49,10,238,-208,40,16,34,1.0625,20360,16,0,0,0,0,0,0,0,0,20360,16
沼津,アスルクラロ沼津,50,2018,J3,J3,386,186,16,27,59,33,65,405,118,34,50,5,0,28,170,-19,7,3,-15,0,0,-15,0,-15,136,133,123,256,132,80,212,96,16,-68,43,4,52,1.6250,45716,16,0,0,0,0,0,0,0,0,45716,16
鳥取,ガイナーレ鳥取,51,2018,J3,J2,475,245,34,27,43,30,96,462,106,22,43,26,0,2,263,13,0,10,3,0,0,3,1,2,0,112,318,430,131,274,405,221,157,-353,25,3,53,1.6563,42519,16,0,0,0,0,0,0,0,0,42519,16
北九州,ギラヴァンツ北九州,52,2018,J3,J1,794,394,107,26,105,43,119,813,287,75,96,56,0,31,269,-19,0,0,-19,0,0,-19,2,-21,0,104,15,120,49,14,63,229,0,-172,57,17,27,0.8438,72014,16,0,0,0,0,0,0,0,0,72014,16
鹿児島,鹿児島ユナイテッドFC,53,2018,J3,J2,493,330,27,26,0,27,83,500,179,44,125,0,0,13,139,-7,0,1,-8,0,0,-8,1,-9,78,126,24,150,105,0,105,26,26,-7,45,2,57,1.7813,64642,16,0,0,0,0,0,0,0,0,64642,16
琉球,FC琉球,54,2018,J3,J2,339,156,10,26,57,12,78,370,99,34,50,37,0,11,139,-31,0,15,-46,0,2,-48,0,-48,0,107,28,135,85,0,85,414,0,-363,50,1,66,2.0625,50330,16,0,0,0,0,0,0,0,0,50330,16
八戸,ヴァンラーレ八戸,55,2018,JFL,J3,216,117,7,0,2,14,76,258,57,6,37,0,0,9,149,-42,16,2,-28,0,1,-29,0,-29,0,89,102,191,67,120,187,59,0,-56,3,3,56,1.8667,33114,15,0,0,0,0,0,0,0,0,33114,15
