クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
仙台,ベガルタ仙台,2,2015,J1,J1,2239,909,660,201,91,378,2222,1031,118,169,58,44,802,17,24,2,39,0,2,37,2,35,635,573,1208,301,298,599,454,0,155,609,14,35,1.029,253705,17,21335,3,0,0,0,0,275040,20
山形,モンテディオ山形,19,2015,J1,J1,1813,446,281,187,0,899,1700,503,62,138,0,0,997,113,30,33,110,0,0,110,32,78,514,26,540,427,15,442,10,0,88,98,18,24,0.706,170518,17,11218,3,0,0,0,0,181736,20
鹿島,鹿島アントラーズ,3,2015,J1,J1,4311,1861,788,222,285,1155,4652,2023,338,300,166,0,1825,-341,3,6,-344,0,0,-344,0,-344,899,1021,1921,525,128,654,1570,147,-449,1267,5,59,1.735,279185,17,19369,2,0,0,34002,3,332556,22
浦和,浦和レッズ,4,2015,J1,J1,6088,2549,2174,270,16,1079,5961,2099,539,420,105,73,2725,127,7,8,126,0,0,126,75,51,776,773,1549,637,123,760,160,0,629,789,3,72,2.118,658668,17,16781,1,40696,1,41134,3,757279,22
柏,柏レイソル,6,2015,J1,J1,3019,1928,518,186,34,353,3083,1888,167,232,40,0,756,-64,51,21,-34,0,0,-34,4,-38,151,2064,2215,1256,0,1256,100,932,-73,959,10,45,1.324,185609,17,4442,1,0,0,50291,6,240342,24
FC東京,FC東京,7,2015,J1,J1,4678,1710,966,235,457,1310,3993,1641,385,429,350,0,1188,685,3,72,616,0,0,616,240,376,2371,140,2511,706,0,706,1092,0,713,1805,4,63,1.853,489336,17,37201,4,0,0,0,0,526537,21
川崎F,川崎フロンターレ,8,2015,J1,J1,4077,1569,777,197,179,1355,3977,1685,190,430,50,0,1622,100,3,1,102,0,0,102,41,61,1091,1186,2278,1348,190,1539,349,30,359,739,6,57,1.676,356976,17,32211,3,0,0,0,0,389187,20
横浜FM,横浜F・マリノス,9,2015,J1,J1,4567,2256,948,204,413,746,4567,1860,331,485,293,0,1598,0,7,5,2,0,0,2,-7,9,1366,269,1635,1487,138,1626,99,0,-90,9,7,55,1.618,411759,17,24539,3,0,0,0,0,436298,20
湘南,湘南ベルマーレ,26,2015,J1,J1,1561,573,335,193,0,460,1517,699,90,102,0,0,626,44,11,3,52,0,46,6,1,5,347,79,427,289,54,344,658,288,-863,83,8,48,1.412,207539,17,17822,3,0,0,0,0,225361,20
甲府,ヴァンフォーレ甲府,10,2015,J1,J1,1525,751,354,186,50,184,1470,736,86,154,28,0,466,55,7,11,51,0,0,51,30,21,408,212,620,334,44,378,367,0,-125,242,13,37,1.088,192042,17,14636,3,0,0,0,0,206678,20
松本,松本山雅FC,27,2015,J1,J1,2149,923,597,213,6,410,1778,821,210,141,8,0,598,371,59,1,429,0,1,428,154,274,543,225,768,251,10,262,193,0,313,506,16,28,0.824,285992,17,30765,3,0,0,0,0,316757,20
