クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
新潟,アルビレックス新潟,11,2015,J1,J1,2510,1038,711,206,176,379,2795,1138,285,267,147,51,907,-285,171,5,-119,0,0,-119,1,-120,532,695,1227,596,284,880,712,0,-365,347,15,34,1.000,372908,17,43237,5,0,0,0,0,416145,22
清水,清水エスパルス,12,2015,J1,J1,3142,1417,551,220,309,645,3460,1526,213,250,225,0,1246,-318,10,1,-309,0,0,-309,1,-310,338,632,970,678,103,781,550,0,-361,189,17,25,0.735,251644,17,16348,3,0,0,0,0,267992,20
名古屋,名古屋グランパス,29,2015,J1,J1,4446,2775,727,200,237,507,4349,2086,275,458,205,0,1325,97,29,88,38,0,0,38,8,30,661,295,956,705,183,888,400,0,-332,68,9,46,1.353,276082,17,25144,4,0,0,0,0,301226,21
G大阪,ガンバ大阪,14,2015,J1,J1,4282,1907,795,270,137,1173,4205,1956,357,313,113,0,1466,77,6,-11,94,0,0,94,57,37,1214,625,1839,1533,62,1595,10,0,234,244,2,63,1.853,271984,17,17539,2,17844,1,64329,6,371696,26
神戸,ヴィッセル神戸,16,2015,J1,J1,3663,2198,425,188,240,612,3561,1767,271,496,111,0,916,102,13,13,102,0,86,16,5,11,634,585,1220,957,130,1087,98,561,-526,133,12,38,1.118,276512,17,31505,5,0,0,0,0,308017,22
広島,サンフレッチェ広島,17,2015,J1,J1,3610,1469,638,236,89,1178,3440,1809,273,281,128,0,949,170,5,9,166,0,0,166,16,150,1215,230,1445,514,33,547,220,52,626,898,1,74,2.176,278499,17,17115,3,36609,1,0,0,332223,21
鳥栖,サガン鳥栖,18,2015,J1,J1,2489,1203,576,193,91,426,2432,1105,245,126,43,0,913,57,16,69,4,0,0,4,1,3,796,43,840,824,9,834,889,739,-1623,6,11,40,1.176,228644,17,17751,3,0,0,0,0,246395,20
札幌,コンサドーレ札幌,1,2015,J2,J1,1420,613,424,100,20,263,1536,550,271,173,53,0,489,-116,90,7,-33,50,12,5,2,3,616,76,693,212,461,674,876,0,-857,18,10,57,1.357,251161,21,0,0,0,0,0,0,251161,21
水戸,水戸ホーリーホック,20,2015,J2,J2,561,190,81,82,49,159,561,249,44,71,21,0,176,0,3,1,2,0,0,2,0,2,138,22,160,105,14,119,84,107,-150,41,19,46,1.095,101132,21,0,0,0,0,0,0,101132,21
栃木,栃木SC,44,2015,J2,J1,936,486,128,80,79,163,854,284,72,150,46,0,302,82,0,1,81,0,32,49,7,42,378,106,484,286,55,341,315,115,-287,143,22,35,0.833,108501,21,0,0,0,0,0,0,108501,21
群馬,ザスパクサツ群馬,21,2015,J2,J2,548,290,71,81,3,103,534,202,54,81,16,0,181,14,4,1,17,0,8,9,3,6,175,9,184,145,0,145,243,85,-289,39,18,48,1.143,86077,21,0,0,0,0,0,0,86077,21
大宮,大宮アルディージャ,5,2015,J2,J1,3005,2183,315,100,157,250,3003,1360,204,496,63,0,880,2,12,14,0,0,0,0,-1,0,431,753,1184,523,651,1174,100,240,-329,10,1,86,2.048,199280,21,0,0,0,0,0,0,199280,21
千葉,ジェフユナイテッド千葉,22,2015,J2,J1,2504,1641,360,93,64,346,2387,1045,153,243,85,71,790,117,4,6,115,0,78,37,6,31,472,893,1365,641,243,885,490,390,-399,480,9,57,1.357,225219,21,0,0,0,0,0,0,225219,21
東京V,東京ヴェルディ,23,2015,J2,J1,1311,564,204,82,182,279,1299,377,97,240,89,31,465,12,0,2,10,0,0,10,2,8,340,18,358,282,41,323,282,243,-491,35,8,58,1.381,118751,21,0,0,0,0,0,0,118751,21
横浜FC,横浜FC,25,2015,J2,J1,1002,560,156,86,56,144,998,424,77,160,45,0,292,4,0,3,1,0,0,1,0,1,308,116,425,338,60,398,354,125,-452,27,15,52,1.238,107364,21,0,0,0,0,0,0,107364,21
金沢,ツエーゲン金沢,28,2015,J2,J1,584,221,74,93,30,166,573,237,65,89,24,0,158,11,1,2,10,0,0,10,2,8,155,129,284,182,0,182,150,0,-48,102,12,54,1.286,103120,21,0,0,0,0,0,0,103120,21
磐田,ジュビロ磐田,13,2015,J2,J1,2996,1515,396,100,231,754,2943,1263,305,229,186,0,960,53,21,4,70,0,1,69,21,48,657,672,1329,456,63,519,679,0,131,810,2,82,1.952,210865,21,0,0,0,0,0,0,210865,21
岐阜,FC岐阜,30,2015,J2,J1,999,516,131,85,47,220,992,468,84,124,35,0,281,7,0,0,7,0,0,7,4,3,127,18,145,54,0,54,269,267,-445,91,20,43,1.024,129756,21,0,0,0,0,0,0,129756,21
京都,京都サンガF.C.,31,2015,J2,J1,1897,1133,193,89,150,332,1792,796,133,155,129,0,579,105,16,71,50,0,1,49,37,12,964,91,1055,475,33,508,3605,0,-3058,547,17,50,1.190,157306,21,0,0,0,0,0,0,157306,21
C大阪,セレッソ大阪,15,2015,J2,J1,2712,1505,464,109,0,634,3195,1523,297,498,0,0,877,-483,6,4,-481,500,0,19,3,16,563,250,813,629,74,703,315,0,-205,110,4,67,1.595,256880,21,0,0,13893,1,0,0,270773,22
岡山,ファジアーノ岡山,32,2015,J2,J1,1174,535,176,89,90,284,1174,509,104,95,20,0,446,0,0,0,0,0,0,0,0,0,506,21,527,393,7,400,98,36,-7,127,11,54,1.286,176652,21,0,0,0,0,0,0,176652,21
讃岐,カマタマーレ讃岐,34,2015,J2,J2,575,228,99,84,41,123,546,239,63,77,20,0,147,29,5,2,32,0,0,32,7,25,193,21,214,49,3,52,77,76,9,162,16,51,1.214,76824,21,0,0,0,0,0,0,76824,21
徳島,徳島ヴォルティス,35,2015,J2,J1,1741,1098,145,84,59,355,1374,684,90,249,34,0,317,367,5,1,371,0,0,371,137,234,1152,164,1316,275,15,290,409,0,617,1026,14,53,1.262,105398,21,0,0,0,0,0,0,105398,21
愛媛,愛媛FC,36,2015,J2,J1,569,251,67,81,50,120,593,267,29,77,21,18,181,-24,8,2,-18,0,0,-18,1,-19,98,46,144,82,0,82,209,0,-147,62,5,65,1.548,79193,21,0,0,0,0,0,0,79193,21
福岡,アビスパ福岡,37,2015,J2,J1,1654,474,235,94,211,640,1595,626,96,374,73,0,426,59,4,6,57,0,0,57,8,49,285,251,537,324,82,406,176,246,-291,130,3,82,1.952,182540,21,0,0,17129,1,0,0,199669,22
北九州,ギラヴァンツ北九州,52,2015,J2,J2,777,328,82,81,82,204,773,283,52,101,42,0,295,5,0,1,3,0,0,3,1,3,148,24,172,101,31,132,198,0,-158,39,7,59,1.405,73243,21,0,0,0,0,0,0,73243,21
長崎,V・ファーレン長崎,38,2015,J2,J1,897,440,94,87,9,267,888,348,74,98,10,0,358,9,0,6,3,0,0,3,1,2,195,26,221,146,1,147,240,20,-187,73,6,60,1.429,97304,21,0,0,0,0,0,0,97304,21
熊本,ロアッソ熊本,39,2015,J2,J1,756,313,119,83,19,222,752,302,44,125,14,0,267,4,0,1,3,0,0,3,1,2,144,5,149,87,12,100,345,0,-295,50,13,53,1.262,147785,21,0,0,0,0,0,0,147785,21
大分,大分トリニータ,40,2015,J2,J1,958,497,245,84,39,93,930,366,68,147,63,3,283,28,4,8,24,0,0,24,1,23,327,78,405,242,58,300,40,40,23,104,21,38,0.905,158194,21,0,0,14217,1,0,0,172411,22
盛岡,グルージャ盛岡,41,2015,J3,J3,200,113,10,12,29,36,231,88,18,39,12,0,74,-31,2,1,-30,10,0,-20,0,-20,41,17,58,37,20,57,73,0,-72,1,11,35,0.972,24784,20,0,0,0,0,0,0,24784,20
秋田,ブラウブリッツ秋田,42,2015,J3,J3,262,154,14,11,35,48,259,82,8,33,22,0,114,3,17,2,18,0,0,18,1,17,64,41,105,9,90,99,24,18,-35,6,8,45,1.250,37955,19,0,0,0,0,0,0,37955,19
福島,福島ユナイテッドFC,43,2015,J3,J3,317,217,16,11,27,46,317,97,38,45,9,0,128,0,1,0,1,0,0,1,0,1,85,5,90,48,1,49,39,0,2,41,7,49,1.361,24497,19,0,0,0,0,0,0,24497,19
町田,町田ゼルビア,24,2015,J3,J2,443,250,55,12,6,120,448,150,39,58,9,0,192,-5,9,3,1,0,0,1,1,0,116,158,274,60,140,200,167,120,-213,74,2,78,2.167,75312,20,0,0,8629,1,0,0,83941,21
YS横浜,Y.S.C.C.横浜,45,2015,J3,J3,192,49,10,13,92,28,194,18,11,25,33,3,104,-2,3,0,1,0,0,1,0,1,36,7,43,41,0,41,0,0,0,2,13,27,0.750,17465,19,0,0,0,0,0,0,17465,19
相模原,SC相模原,46,2015,J3,J3,224,150,32,11,0,31,234,70,18,35,0,0,111,-10,9,1,-2,0,0,-2,0,-2,44,12,56,47,1,48,19,0,-11,8,4,58,1.611,62533,19,0,0,0,0,0,0,62533,19
長野,AC長野パルセイロ,47,2015,J3,J2,597,361,96,14,20,106,582,214,31,72,35,23,207,15,1,0,16,0,0,16,0,16,73,5,78,29,0,29,79,14,-44,49,3,70,1.944,94665,20,0,0,0,0,0,0,94665,20
富山,カターレ富山,48,2015,J3,J1,531,370,47,12,50,52,522,198,44,80,20,0,180,9,1,0,10,0,0,10,0,10,241,6,247,145,8,153,97,28,-30,94,5,52,1.444,56392,20,0,0,0,0,0,0,56392,20
藤枝,藤枝MYFC,49,2015,J3,J3,140,99,9,11,0,21,142,23,20,28,0,0,71,-2,4,2,0,0,0,0,0,0,58,66,124,73,5,78,10,239,-203,46,10,37,1.028,20962,19,0,0,0,0,0,0,20962,19
鳥取,ガイナーレ鳥取,51,2015,J3,J3,426,207,47,12,46,114,444,100,29,36,31,0,248,-18,0,9,-27,30,0,3,1,2,102,384,486,193,239,432,207,143,-296,54,6,50,1.389,38637,20,0,0,0,0,0,0,38637,20
山口,レノファ山口,33,2015,J3,J2,384,175,92,14,10,93,358,90,41,64,12,0,151,26,2,1,28,0,0,28,0,28,256,34,290,213,7,220,83,16,-30,69,1,78,2.167,87348,20,0,0,0,0,0,0,87348,20
琉球,FC琉球,54,2015,J3,J3,261,135,10,11,23,82,278,76,27,57,11,0,107,-17,21,1,3,0,0,3,1,2,60,6,66,9,0,9,168,0,-111,57,9,45,1.250,28466,19,0,0,0,0,0,0,28466,19
鹿児島,鹿児島ユナイテッドFC,53,2015,JFL,J3,247,180,12,0,0,55,249,92,27,55,0,0,75,-2,0,0,-2,0,0,-2,0,-2,77,1,78,36,0,36,0,45,-3,42,4,60,2.000,39361,15,0,0,0,0,0,0,39361,15
