クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
山形,モンテディオ山形,19,J1,2009,1163,194,339,252,378,1136,569,379,188,27,27,27,286,236,0,49,49,15,39,1.1471,204953,17,12415,3,0,0,217368,20
鹿島,鹿島アントラーズ,3,J1,2009,4408,1655,774,507,1472,4303,1913,1340,1050,105,111,32,2471,684,1570,70,1787,1,66,1.9412,367486,17,7935,1,39971,4,415392,22
浦和,浦和レッズ,4,J1,2009,6432,2735,2461,336,900,6358,2464,3131,763,74,68,6,1890,1316,160,414,574,6,52,1.5294,751565,17,102140,4,0,0,853705,21
大宮,大宮アルディージャ,5,J1,2009,3553,2396,379,220,558,3546,1954,1136,456,7,6,0,661,650,100,-329,11,13,39,1.1471,233013,17,19415,3,0,0,252428,20
千葉,ジェフユナイテッド千葉,22,J1,2009,2683,1432,605,219,427,3036,1552,1050,434,-353,-359,-638,1519,948,490,-308,572,18,27,0.7941,250413,17,29437,3,0,0,279850,20
柏,柏レイソル,6,J1,2009,2859,1763,474,209,413,2930,1580,832,518,-71,-55,-55,466,685,22,-241,-219,16,34,1.0000,199552,17,17480,3,0,0,217032,20
FC東京,FC東京,7,J1,2009,3763,1357,828,375,1203,3731,1768,1171,792,32,22,20,951,347,1003,-399,604,5,53,1.5588,440032,17,73838,5,0,0,513870,22
川崎F,川崎フロンターレ,8,J1,2009,3604,1829,626,393,756,3543,1951,1078,514,61,11,6,1097,566,349,151,531,2,64,1.8824,320394,17,25431,2,52116,4,397941,23
横浜FM,横浜F・マリノス,9,J1,2009,3505,1322,846,263,1074,3505,1165,1568,772,0,0,-36,739,860,31,-159,-121,10,46,1.3529,374975,17,66830,5,0,0,441805,22
新潟,アルビレックス新潟,11,J1,2009,2418,853,822,229,514,2470,1038,937,495,-52,66,89,1007,702,712,-408,305,8,50,1.4706,568582,17,59733,3,0,0,628315,20
清水,清水エスパルス,12,J1,2009,3514,1226,665,299,1324,3378,1378,1419,581,136,143,71,1062,497,550,14,564,7,51,1.5000,304900,17,51780,5,0,0,356680,22
磐田,ジュビロ磐田,13,J1,2009,3422,1943,511,225,743,3395,1582,1102,711,27,42,4,1011,884,679,-551,127,11,41,1.2059,229891,17,17421,3,0,0,247312,20
名古屋,名古屋グランパス,29,J1,2009,4506,2068,771,251,1416,4485,2350,1597,538,21,39,4,1072,491,400,180,580,9,50,1.4706,270773,17,6463,1,50322,6,327558,24
京都,京都サンガF.C.,31,J1,2009,2416,1515,419,227,255,2596,1503,713,380,-180,-243,-248,1154,1131,3605,-3582,23,12,41,1.2059,189149,17,18997,3,0,0,208146,20
G大阪,ガンバ大阪,14,J1,2009,4078,1731,588,371,1388,3939,2215,778,946,139,132,39,1188,1015,10,163,173,3,60,1.7647,301105,17,7102,1,41550,4,349757,22
神戸,ヴィッセル神戸,16,J1,2009,2446,715,421,228,1082,2722,1545,728,449,-276,-536,-538,1441,2247,98,-1465,-806,14,39,1.1471,222153,17,15828,3,0,0,237981,20
広島,サンフレッチェ広島,17,J1,2009,2728,1364,545,280,539,2708,1313,950,445,20,24,12,786,440,2110,-1764,346,4,56,1.6471,267299,17,26669,3,0,0,293968,20
大分,大分トリニータ,40,J1,2009,1915,736,470,221,488,2242,1345,560,337,-328,-324,-616,543,1710,469,-1704,-1167,17,30,0.8824,313281,17,33895,3,0,0,347176,20
札幌,コンサドーレ札幌,1,J2,2009,1548,561,355,118,514,1683,699,738,246,-135,-25,-42,1022,1001,795,-774,22,6,79,1.5490,265376,26,0,0,0,0,265376,26
仙台,ベガルタ仙台,2,J2,2009,1529,427,541,142,419,1651,711,717,223,-122,-95,-98,623,232,453,-63,390,1,106,2.0784,336719,26,0,0,0,0,336719,26
水戸,水戸ホーリーホック,20,J2,2009,413,108,71,102,132,399,163,130,106,14,14,6,89,107,52,-145,-18,8,73,1.4314,66818,25,0,0,0,0,66818,25
栃木,栃木SC,44,J2,2009,580,238,113,102,128,627,247,242,138,-47,-48,-49,126,66,243,-224,60,17,37,0.7255,117643,25,0,0,0,0,117643,25
草津,ザスパ草津,21,J2,2009,536,221,84,116,115,550,182,213,155,-14,-13,-13,150,170,186,-234,-20,10,65,1.2745,112584,26,0,0,0,0,112584,26
東京V,東京ヴェルディ,23,J2,2009,888,147,169,103,469,2342,1044,977,321,-1454,-1457,1,453,444,89,-79,10,7,74,1.4510,143539,26,0,0,0,0,143539,26
横浜FC,横浜FC,25,J2,2009,966,532,151,108,175,966,330,437,199,0,1,0,381,373,344,-451,7,16,44,0.8627,91898,26,0,0,0,0,91898,26
湘南,湘南ベルマーレ,26,J2,2009,1066,372,191,105,398,1178,618,294,266,-112,-112,-115,521,520,524,-678,1,3,98,1.9216,189088,26,0,0,0,0,189088,26
甲府,ヴァンフォーレ甲府,10,J2,2009,1094,497,293,119,185,1080,498,292,290,14,2,0,463,253,367,-157,210,4,97,1.9020,276463,25,0,0,0,0,276463,25
富山,カターレ富山,48,J2,2009,610,342,79,103,86,586,168,274,144,24,24,13,185,46,97,14,139,13,61,1.1961,93507,25,0,0,0,0,93507,25
岐阜,FC岐阜,30,J2,2009,420,115,71,104,129,464,156,171,137,-45,-56,-56,122,255,111,-354,-133,12,62,1.2157,107557,25,0,0,0,0,107557,25
C大阪,セレッソ大阪,15,J2,2009,2241,1252,278,122,589,2319,1085,565,669,-78,-81,-84,622,455,315,-148,167,2,104,2.0392,247796,25,0,0,0,0,247796,25
