クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
仙台,ベガルタ仙台,2,2016,J1,J1,2285,908,608,211,81,183,294,2428,1187,115,215,64,44,116,687,-143,28,4,-119,0,0,-119,0,-119,711,625,1336,553,293,846,454,0,36,490,12,43,1.2647,262937,17,24902,3,0,0,0,0,0,0,287859,20
鹿島,鹿島アントラーズ,3,2016,J1,J1,5582,1958,869,232,283,540,1700,4825,1929,372,444,149,0,428,1503,757,43,5,795,0,0,795,185,610,1959,1062,3021,990,153,1143,1570,147,161,1878,1,59,1.7353,324759,17,18381,3,23074,1,0,0,0,0,366235,21
浦和,浦和レッズ,4,2016,J1,J1,6606,2593,2375,319,14,778,527,6426,2381,594,450,113,71,502,2315,180,8,4,184,65,0,249,76,173,802,1213,2015,627,201,828,273,113,801,1187,2,74,2.1765,627898,17,46129,2,59837,1,103373,4,0,0,837261,24
大宮,大宮アルディージャ,5,2016,J1,J1,3203,2077,398,216,174,165,173,3194,1411,229,487,73,0,142,852,9,3,12,0,0,0,0,0,0,412,898,1310,645,654,1299,100,240,-329,11,5,56,1.6471,200834,17,26943,4,0,0,0,0,0,0,227798,21
柏,柏レイソル,6,2016,J1,J1,2874,1929,435,185,30,61,234,2830,1753,132,180,39,0,48,678,44,23,3,64,0,0,64,7,57,168,2057,2225,1209,0,1209,100,932,-16,1016,8,54,1.5882,182374,17,17787,3,0,0,0,0,0,0,200181,20
FC東京,FC東京,7,2016,J1,J1,4541,1935,961,245,444,289,667,4447,2025,482,472,258,0,240,970,94,46,19,121,0,0,121,38,83,2077,233,2310,372,5,377,1137,0,796,1933,9,52,1.5294,408623,17,20236,2,0,0,46890,5,41957,15,517730,39
川崎F,川崎フロンターレ,8,2016,J1,J1,4254,1809,907,222,168,476,672,3923,1643,195,279,44,0,378,1384,331,1,1,331,0,0,331,114,217,207,1751,1958,819,182,1001,349,31,577,957,3,72,2.1176,376305,17,35955,3,24209,1,0,0,0,0,436490,21
横浜FM,横浜F・マリノス,9,2016,J1,J1,4696,2366,1005,224,315,509,277,4696,1966,354,395,225,0,351,1405,0,40,30,10,0,0,10,0,10,1608,466,2074,1897,158,2055,99,0,-80,19,10,51,1.5000,408072,17,45234,5,0,0,0,0,0,0,453328,22
湘南,湘南ベルマーレ,26,2016,J1,J1,1627,681,331,185,0,199,231,1628,798,104,113,0,0,129,484,-1,8,3,4,0,0,4,1,3,349,62,411,283,42,325,658,288,-860,86,17,27,0.7941,196012,17,15846,3,0,0,0,0,0,0,211878,20
甲府,ヴァンフォーレ甲府,10,2016,J1,J1,1523,736,342,193,59,61,132,1499,736,88,182,28,0,42,423,24,8,14,18,1,0,19,11,8,396,219,615,318,47,365,367,0,-117,250,14,31,0.9118,184161,17,15083,3,0,0,0,0,0,0,199264,20
新潟,アルビレックス新潟,11,2016,J1,J1,2908,1049,679,218,194,277,491,2959,1220,269,225,150,61,222,812,-51,179,14,114,0,0,114,17,97,766,637,1403,639,320,959,712,0,-268,444,15,30,0.8824,360076,17,28967,3,0,0,0,0,0,0,389063,20
