クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
磐田,ジュビロ磐田,13,2016,J1,J1,3303,1569,474,219,234,294,513,3263,1378,422,227,238,0,168,830,40,24,3,61,35,0,96,34,62,728,799,1527,586,68,654,679,0,194,873,13,36,1.0588,248381,17,22028,3,0,0,0,0,0,0,270429,20
名古屋,名古屋グランパス,29,2016,J1,J1,4713,3088,761,208,203,187,266,4565,1984,275,550,191,0,120,1445,148,28,10,166,35,8,193,44,149,500,264,764,351,159,510,105,0,149,254,16,30,0.8824,301396,17,17362,3,0,0,0,0,0,0,318778,20
G大阪,ガンバ大阪,14,2016,J1,J1,5146,1817,1390,288,140,588,923,4882,1900,832,426,121,0,451,1152,264,52,296,20,0,0,20,0,20,778,1066,1844,1514,67,1581,10,0,253,263,4,58,1.7059,430806,17,24137,2,0,0,39872,3,36021,15,530858,37
神戸,ヴィッセル神戸,16,2016,J1,J1,3865,2221,427,190,219,130,678,3823,2068,337,171,70,0,143,1034,42,14,15,41,0,0,41,12,29,757,614,1371,1077,131,1208,98,561,-496,163,7,55,1.6176,289310,17,24270,4,0,0,0,0,0,0,313601,21
広島,サンフレッチェ広島,17,2016,J1,J1,3794,1620,563,290,93,487,741,3435,1553,271,423,156,0,314,717,359,6,9,356,35,0,391,79,312,1406,285,1691,446,35,481,220,52,938,1210,6,55,1.6176,262888,17,5529,1,0,0,25548,3,0,0,293986,21
福岡,アビスパ福岡,37,2016,J1,J1,1836,618,275,207,175,112,449,1814,937,142,187,67,0,92,389,22,4,3,23,0,0,23,2,21,394,338,732,490,90,580,176,246,-270,152,18,19,0.5588,218576,17,35259,4,0,0,0,0,0,0,253856,21
鳥栖,サガン鳥栖,18,2016,J1,J1,2766,1631,553,190,95,152,145,2785,1476,272,153,53,0,103,728,-19,31,2,10,0,0,10,1,9,1004,37,1041,960,66,1026,889,740,-1614,15,11,46,1.3529,214814,17,14311,3,0,0,0,0,0,0,229145,20
札幌,北海道コンサドーレ札幌,1,2016,J2,J1,1902,882,457,107,22,173,261,1978,703,285,205,63,0,142,580,-76,88,9,3,0,1,2,2,0,938,116,1054,616,419,1035,876,0,-857,19,1,85,2.0238,305732,21,0,0,0,0,0,0,0,0,305753,21
山形,モンテディオ山形,19,2016,J2,J1,1497,426,182,84,0,82,723,1514,429,66,132,0,0,79,808,-17,20,0,3,0,0,3,0,3,472,36,508,390,17,407,10,0,91,101,14,47,1.1190,131324,21,0,0,0,0,0,0,0,0,131345,21
水戸,水戸ホーリーホック,20,2016,J2,J2,589,199,86,82,49,56,117,586,262,47,71,21,0,42,143,3,1,0,4,0,0,4,0,4,143,17,160,104,11,115,84,107,-146,45,13,48,1.1429,112668,21,0,0,0,0,0,0,0,0,112689,21
群馬,ザスパクサツ群馬,21,2016,J2,J1,522,266,75,83,0,33,65,559,228,53,92,16,0,24,146,-37,5,1,-33,0,4,-37,1,-38,163,3,166,145,0,145,253,96,-328,21,17,45,1.0714,99619,21,0,0,0,0,0,0,0,0,99640,21
千葉,ジェフユナイテッド千葉,22,2016,J2,J1,2556,1659,333,93,64,173,234,2435,899,157,374,89,76,160,680,121,17,8,130,38,107,61,4,57,491,1067,1558,659,361,1020,490,390,-342,538,11,53,1.2619,216127,21,0,0,0,0,0,0,0,0,216148,21
東京V,東京ヴェルディ,23,2016,J2,J1,1391,667,164,80,204,45,230,1417,436,100,262,85,34,38,463,-26,0,4,-30,35,1,3,0,3,375,36,411,317,56,373,282,244,-488,38,18,43,1.0238,113451,21,0,0,0,0,0,0,0,0,113472,21
町田,FC町田ゼルビア,24,2016,J2,J2,626,299,92,86,4,41,104,628,189,61,73,15,0,33,257,-2,1,2,-3,0,48,-51,2,-53,104,100,204,60,123,183,167,120,-266,21,7,65,1.5476,107591,21,0,0,0,0,0,0,0,0,107612,21
横浜FC,横浜FC,25,2016,J2,J1,1064,569,150,79,70,58,139,1060,464,83,195,45,0,41,232,4,0,2,2,0,0,2,1,1,311,105,416,350,38,388,354,125,-451,28,8,59,1.4048,102724,21,0,0,0,0,0,0,0,0,102745,21
松本,松本山雅FC,27,2016,J2,J1,1935,889,528,103,19,200,196,1761,863,201,127,25,0,133,412,174,37,1,210,0,0,210,67,143,501,223,724,61,10,71,196,0,457,653,3,84,2.0000,286246,21,0,0,12200,1,0,0,0,0,298468,22
金沢,ツエーゲン金沢,28,2016,J2,J1,612,319,70,82,41,42,58,631,296,48,92,31,0,26,138,-19,16,2,-5,0,0,-5,1,-6,66,122,188,93,0,93,150,0,-54,95,21,39,0.9286,87757,21,0,0,7130,1,0,0,0,0,94909,22
清水,清水エスパルス,12,2016,J2,J1,3341,1767,494,109,303,318,350,3332,1473,177,210,227,0,226,1019,9,4,2,11,35,0,46,9,37,331,574,905,603,77,680,550,0,-325,225,2,84,2.0000,236749,21,0,0,0,0,0,0,0,0,236770,21
岐阜,FC岐阜,30,2016,J2,J1,932,522,128,86,43,57,96,924,419,88,114,37,0,45,221,8,0,3,5,0,0,5,2,3,173,13,186,92,0,92,269,267,-442,94,20,43,1.0238,118910,21,0,0,0,0,0,0,0,0,118931,21
京都,京都サンガF.C.,31,2016,J2,J1,1743,1122,200,93,136,58,134,2008,965,143,154,127,0,34,585,-265,14,15,-266,0,0,-266,18,-284,675,90,765,466,36,502,3605,0,-3342,263,5,69,1.6429,137005,21,0,0,0,0,0,0,0,0,137026,21
C大阪,セレッソ大阪,15,2016,J2,J1,3008,1738,510,102,0,239,419,2983,1494,324,345,0,0,189,631,25,0,12,13,0,1,12,4,8,718,582,1300,1101,79,1181,315,0,-196,119,4,78,1.8571,262691,21,0,0,31008,2,0,0,22326,15,316048,38
岡山,ファジアーノ岡山,32,2016,J2,J1,1271,564,200,95,88,122,202,1262,568,100,104,17,0,89,384,9,0,0,9,0,0,9,2,7,501,19,521,377,9,387,98,36,0,134,6,65,1.5476,210364,21,0,0,0,0,0,0,0,0,210385,21
山口,レノファ山口FC,33,2016,J2,J1,880,340,220,107,11,131,71,804,231,102,118,33,3,78,237,77,1,0,77,0,0,77,24,53,359,59,418,289,6,295,99,0,24,123,12,53,1.2619,139732,21,0,0,0,0,0,0,0,0,139753,21
讃岐,カマタマーレ讃岐,34,2016,J2,J2,613,262,107,83,42,44,75,628,287,79,79,22,0,28,133,-15,1,2,-16,0,0,-16,0,-16,156,28,184,38,0,38,77,76,-7,146,19,43,1.0238,77413,21,0,0,0,0,0,0,0,0,77434,21
徳島,徳島ヴォルティス,35,2016,J2,J1,1443,991,125,81,69,46,131,1409,731,77,242,48,0,41,270,34,5,14,25,0,0,25,11,14,1126,159,1285,227,18,245,409,0,631,1040,9,57,1.3571,95860,21,0,0,0,0,0,0,0,0,95881,21
愛媛,愛媛FC,36,2016,J2,J1,630,280,78,82,56,57,77,691,306,37,85,35,22,41,165,-61,7,1,-55,0,3,-58,0,-58,125,82,207,68,37,105,309,-1,-205,103,10,56,1.3333,85863,21,0,0,0,0,0,0,0,0,85884,21
北九州,ギラヴァンツ北九州,52,2016,J2,J1,855,384,80,82,85,71,151,842,343,55,118,40,0,53,233,13,0,1,12,0,7,4,2,2,204,13,217,135,25,160,214,0,-156,57,22,38,0.9048,67698,21,0,0,0,0,0,0,0,0,67719,21
長崎,V・ファーレン長崎,38,2016,J2,J1,749,359,74,76,0,54,186,878,322,79,90,0,0,56,331,-129,1,5,-133,0,4,-137,1,-138,193,21,214,200,1,201,279,58,-324,13,15,47,1.1190,97125,21,0,0,0,0,0,0,0,0,97146,21
熊本,ロアッソ熊本,39,2016,J2,J1,720,319,135,86,13,66,101,810,315,49,129,21,0,44,252,-90,0,1,-91,102,0,11,3,8,132,17,149,90,0,90,345,0,-286,59,16,46,1.0952,116402,21,0,0,0,0,0,0,0,0,116423,21
盛岡,グルージャ盛岡,41,2016,J3,J3,142,73,10,15,21,4,19,271,87,16,49,11,0,3,105,-129,7,1,-123,0,35,-158,0,-158,91,17,107,66,37,103,234,0,-230,4,13,30,1.0000,17816,15,0,0,0,0,0,0,0,0,17831,15
秋田,ブラウブリッツ秋田,42,2016,J3,J3,288,184,12,15,33,8,36,286,94,9,41,19,0,8,115,2,10,2,10,0,0,10,0,10,66,34,100,11,72,84,24,18,-26,16,4,50,1.6667,36371,15,0,0,0,0,0,0,0,0,36386,15
福島,福島ユナイテッドFC,43,2016,J3,J3,326,230,12,16,29,17,22,342,120,34,43,12,0,12,121,-16,1,0,-15,0,0,-15,0,-15,51,5,56,29,0,29,39,0,-12,27,14,30,1.0000,25172,15,0,0,0,0,0,0,0,0,25187,15
栃木,栃木SC,44,2016,J3,J1,639,409,66,18,72,52,22,659,228,47,90,47,0,27,220,-20,0,4,-24,28,0,4,2,2,211,83,294,116,33,149,315,115,-285,145,2,59,1.9667,73756,15,0,0,5369,1,0,0,0,0,79141,16
YS横浜,Y.S.C.C.横浜,45,2016,J3,J3,189,35,14,23,88,11,18,191,17,9,28,31,3,12,91,-2,3,0,1,0,0,1,0,1,35,5,40,29,8,37,0,0,0,3,16,20,0.6667,15277,15,0,0,0,0,0,0,0,0,15292,15
相模原,SC相模原,46,2016,J3,J3,263,177,35,17,0,18,16,272,80,14,35,0,0,16,127,-9,11,1,1,0,0,1,0,1,83,13,96,54,30,85,21,0,-10,11,11,35,1.1667,65161,15,0,0,0,0,0,0,0,0,65176,15
長野,AC長野パルセイロ,47,2016,J3,J2,687,402,73,19,38,7,148,684,281,32,94,24,31,0,222,3,1,0,4,0,0,4,0,4,87,10,97,34,10,44,79,14,-40,53,3,52,1.7333,75274,15,0,0,0,0,0,0,0,0,75289,15
富山,カターレ富山,48,2016,J3,J1,515,365,37,15,50,20,28,507,191,32,81,25,0,13,165,8,1,0,9,0,0,9,0,9,141,5,146,35,7,42,97,28,-21,104,6,49,1.6333,54113,15,0,0,0,0,0,0,0,0,54128,15
藤枝,藤枝MYFC,49,2016,J3,J3,165,121,7,15,0,2,20,160,32,8,28,0,7,1,84,5,1,0,6,0,13,-7,0,-7,51,10,61,18,5,23,10,239,-211,38,7,45,1.5000,22965,15,0,0,0,0,0,0,0,0,22980,15
鳥取,ガイナーレ鳥取,51,2016,J3,J2,412,213,40,15,48,16,80,470,142,21,43,31,0,2,231,-58,16,10,-52,0,0,-52,0,-52,85,362,447,174,272,446,207,142,-348,1,15,30,1.0000,28471,15,0,0,0,0,0,0,0,0,28486,15
大分,大分トリニータ,40,2016,J3,J1,797,404,157,17,38,13,168,752,266,43,114,61,2,3,263,45,19,0,64,0,0,64,0,64,304,65,369,219,6,225,40,40,64,144,1,61,2.0333,116563,15,0,0,0,0,0,0,0,0,116578,15
鹿児島,鹿児島ユナイテッドFC,53,2016,J3,J3,377,252,27,18,0,35,45,373,119,50,66,12,0,17,109,4,0,0,3,0,0,3,0,3,117,2,119,67,0,67,27,26,-1,52,5,50,1.6667,54979,15,0,0,0,0,0,0,0,0,54994,15
琉球,FC琉球,54,2016,J3,J3,194,39,10,19,38,10,78,306,84,23,60,24,0,9,106,-112,4,0,-108,0,18,-126,1,-127,101,5,106,72,0,72,272,0,-238,34,8,44,1.4667,23418,15,0,0,0,0,0,0,0,0,23433,15
沼津,アスルクラロ沼津,50,2016,JFL,J3,268,130,5,0,75,18,40,274,73,16,25,1,0,8,151,-5,10,3,2,0,0,2,1,1,71,113,184,46,128,174,80,0,-70,10,3,59,1.9667,34975,15,0,0,0,0,0,0,0,0,34990,15
