クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
清水,清水エスパルス,12,2012,J1,J1,3449,1223,623,237,315,1051,3324,1281,248,215,136,0,1444,124,37,4,157,0,0,157,27,129,411,687,1098,344,217,561,550,0,-13,537,9,49,1.4412,257054,17,45702,5,0,0,0,0,302756,22
磐田,ジュビロ磐田,13,2012,J1,J1,3391,1674,403,233,149,932,3174,1437,309,253,162,0,1013,217,24,5,236,0,0,236,66,170,885,455,1340,580,68,648,679,0,13,692,12,46,1.3529,223071,17,22232,3,0,0,0,0,245303,20
名古屋,名古屋グランパス,29,2012,J1,J1,3993,2145,799,226,275,548,4287,2009,319,488,208,0,1263,-295,27,18,-286,0,0,-286,-29,-257,626,343,969,719,157,876,400,0,-307,93,7,52,1.5294,291632,17,7313,1,0,0,17729,3,316674,21
G大阪,ガンバ大阪,14,2012,J1,J1,3285,1840,529,232,123,561,3352,1707,321,267,102,0,955,-67,35,-36,4,0,0,4,0,4,493,479,972,692,48,740,10,0,222,232,17,38,1.1176,251232,17,7083,1,0,0,22495,3,280810,21
C大阪,セレッソ大阪,15,2012,J1,J1,2618,1120,495,228,0,775,2546,969,290,538,0,0,749,72,1,4,69,0,6,63,0,63,440,282,722,471,72,543,315,0,-136,179,14,42,1.2353,287524,17,30087,4,0,0,0,0,317611,21
神戸,ヴィッセル神戸,16,2012,J1,J1,2250,742,454,202,225,627,2364,1157,176,264,107,0,660,-114,18,14,-110,0,185,-295,1,-296,536,252,788,350,1690,2040,98,561,-1911,-1252,16,39,1.1471,248853,17,12890,3,0,0,0,0,261743,20
広島,サンフレッチェ広島,17,2012,J1,J1,3176,1406,551,239,100,880,2949,1412,239,254,132,0,912,227,11,13,225,0,0,225,2,223,922,281,1203,461,247,708,220,52,223,495,1,64,1.8824,301249,17,23779,3,0,0,0,0,325028,20
鳥栖,サガン鳥栖,18,2012,J1,J1,1454,493,495,202,45,219,1362,610,116,75,20,0,541,93,41,9,125,0,35,90,0,90,379,62,441,312,37,349,605,454,-967,92,5,53,1.5588,203844,17,16539,3,0,0,0,0,220383,20
山形,モンテディオ山形,19,2012,J2,J1,1047,253,223,95,57,419,982,459,77,109,68,0,269,65,0,0,65,0,0,65,0,65,116,15,131,117,0,117,0,0,0,14,10,61,1.4524,154459,21,0,0,0,0,0,0,154459,21
水戸,水戸ホーリーホック,20,2012,J2,J2,483,169,82,90,35,107,479,205,30,68,11,0,165,4,1,1,4,25,1,28,0,28,142,26,168,87,25,112,80,103,-127,56,13,56,1.3333,83431,21,0,0,0,0,0,0,83431,21
栃木,栃木SC,44,2012,J2,J1,791,418,131,96,29,118,907,338,92,143,30,0,303,-116,2,1,-115,0,0,-115,1,-116,119,40,159,211,4,215,285,85,-426,-56,11,60,1.4286,80859,21,0,0,0,0,0,0,80859,21
草津,ザスパ草津,21,2012,J2,J2,496,226,80,87,6,97,536,184,54,91,24,0,183,-40,12,3,-31,1,2,-32,1,-33,100,10,110,197,0,197,208,53,-348,-87,17,47,1.1190,70159,21,0,0,0,0,0,0,70159,21
千葉,ジェフユナイテッド千葉,22,2012,J2,J1,2408,1617,341,110,53,287,2232,1038,147,230,53,69,696,176,4,10,170,0,32,138,0,138,364,997,1361,513,406,919,490,390,-438,442,5,72,1.7143,194893,21,0,0,0,0,0,0,194893,21
東京V,東京ヴェルディ,23,2012,J2,J1,1470,548,170,87,134,531,1463,369,284,290,59,29,432,7,0,2,5,0,0,5,0,5,361,32,393,299,62,361,252,213,-433,32,7,66,1.5714,112158,21,0,0,0,0,0,0,112158,21
町田,町田ゼルビア,24,2012,J2,J2,493,202,69,95,24,103,476,152,84,63,0,0,177,17,1,2,16,0,0,16,1,15,134,36,170,78,74,152,142,95,-219,18,22,32,0.7619,76169,21,0,0,0,0,0,0,76169,21
横浜FC,横浜FC,25,2012,J2,J1,1054,576,208,102,40,128,1048,490,85,110,61,0,302,6,0,4,2,0,0,2,0,2,162,142,304,148,127,275,344,115,-430,29,4,73,1.7381,126810,21,0,0,10594,1,0,0,137404,22
湘南,湘南ベルマーレ,26,2012,J2,J1,869,330,203,89,0,247,873,366,67,75,0,0,365,-4,12,4,4,0,0,4,0,4,206,96,302,205,65,270,630,261,-859,32,2,75,1.7857,143887,21,0,0,0,0,0,0,143887,21
甲府,ヴァンフォーレ甲府,10,2012,J2,J1,1179,554,291,103,26,205,1148,476,66,170,18,0,418,31,15,9,37,0,0,37,22,15,406,200,606,285,29,314,367,0,-75,292,1,86,2.0476,218539,21,0,0,0,0,0,0,218539,21
松本,松本山雅FC,27,2012,J2,J1,893,368,188,118,0,219,827,284,83,120,0,0,339,66,4,0,70,0,0,70,31,39,201,20,221,55,1,56,128,0,37,165,12,59,1.4048,200143,21,0,0,0,0,0,0,200143,21
富山,カターレ富山,48,2012,J2,J1,599,354,58,84,33,70,639,264,55,110,15,0,195,-40,3,0,-37,0,0,-37,0,-37,202,3,205,171,2,173,97,28,-92,32,19,38,0.9048,69807,21,0,0,0,0,0,0,69807,21
岐阜,FC岐阜,30,2012,J2,J2,528,193,73,100,32,130,568,212,46,75,18,0,217,-40,0,9,-49,0,0,-49,0,-49,77,3,80,246,26,272,142,139,-473,-192,21,35,0.8333,89676,21,0,0,0,0,0,0,89676,21
京都,京都サンガF.C.,31,2012,J2,J1,2039,1354,250,89,129,217,1521,591,134,166,126,0,504,518,13,166,365,0,8,357,60,297,1199,115,1314,765,227,992,3605,0,-3283,322,3,74,1.7619,152732,21,0,0,10760,1,0,0,163492,22
鳥取,ガイナーレ鳥取,51,2012,J2,J2,576,186,87,112,39,152,595,212,43,67,31,0,242,-19,18,4,-5,0,0,-5,1,-7,53,467,520,294,197,491,149,84,-204,29,20,38,0.9048,65786,21,0,0,0,0,0,0,65786,21
岡山,ファジアーノ岡山,32,2012,J2,J1,878,415,141,93,48,181,848,389,67,75,20,0,297,30,0,4,26,0,0,26,0,26,326,25,351,256,3,259,98,36,-42,92,8,65,1.5476,167691,21,0,0,0,0,0,0,167691,21
徳島,徳島ヴォルティス,35,2012,J2,J1,1050,709,84,89,49,121,976,489,52,132,18,0,285,74,19,1,91,0,1,90,39,52,501,147,648,117,23,140,409,0,99,508,15,51,1.2143,83808,21,0,0,0,0,0,0,83808,21
愛媛,愛媛FC,36,2012,J2,J2,504,198,51,114,42,99,546,253,27,95,27,0,144,-42,2,1,-41,0,2,-43,0,-43,109,56,165,25,0,25,209,0,-69,140,16,50,1.1905,76201,21,0,0,0,0,0,0,76201,21
福岡,アビスパ福岡,37,2012,J2,J1,854,301,170,95,172,116,1015,411,86,155,63,0,300,-161,14,10,-157,0,0,-157,1,-158,141,274,415,283,72,355,126,196,-262,60,18,41,0.9762,117309,21,0,0,0,0,0,0,117309,21
北九州,ギラヴァンツ北九州,52,2012,J2,J2,682,252,98,86,44,202,675,259,44,102,18,0,252,7,0,2,5,0,3,2,0,2,105,38,143,124,49,173,147,0,-177,-30,9,64,1.5238,70274,21,0,0,0,0,0,0,70274,21
熊本,ロアッソ熊本,39,2012,J2,J1,678,252,95,83,31,217,696,254,75,103,24,0,240,-18,1,1,-18,0,4,-22,1,-23,112,19,131,196,6,202,273,0,-344,-71,14,55,1.3095,122956,21,0,0,0,0,0,0,122956,21
大分,大分トリニータ,40,2012,J2,J1,986,452,285,83,53,113,883,298,67,123,71,3,321,103,13,9,107,224,0,331,1,330,146,59,205,473,319,792,469,68,-1124,-587,6,71,1.6905,204134,21,0,0,0,0,0,0,204134,21
