クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
札幌,コンサドーレ札幌,1,2012,J1,J1,1347,475,397,209,44,222,1468,495,254,176,58,0,485,-121,104,19,-36,0,0,-36,2,-38,678,72,751,340,448,788,876,0,-913,-37,18,14,0.4118,204141,17,18051,3,0,0,0,0,222192,20
仙台,ベガルタ仙台,2,2012,J1,J1,2303,770,764,248,86,435,2271,1079,132,190,75,26,769,32,25,1,56,0,4,52,20,32,858,493,1351,447,231,678,454,0,219,673,2,57,1.6765,282200,17,34612,4,0,0,0,0,316812,21
鹿島,鹿島アントラーズ,3,2012,J1,J1,4160,1935,720,247,270,988,4238,1888,358,302,173,0,1517,-78,16,5,-67,0,0,-67,1,-68,737,1348,2085,476,97,573,1570,147,-205,1512,11,46,1.3529,261484,17,39419,5,0,0,0,0,300903,22
浦和,浦和レッズ,4,2012,J1,J1,5353,2121,1988,267,18,959,5202,1910,449,412,101,65,2265,150,7,5,152,0,0,152,1,151,303,826,1129,528,74,602,160,0,367,527,3,55,1.6176,622772,17,53531,3,0,0,0,0,676303,20
大宮,大宮アルディージャ,5,2012,J1,J1,3344,2172,329,208,143,492,3348,1787,288,387,59,0,827,-4,12,7,1,0,0,1,1,0,414,1091,1505,853,641,1494,100,240,-329,11,13,44,1.2941,180831,17,16408,3,0,0,0,0,197239,20
柏,柏レイソル,6,2012,J1,J1,3551,1989,576,234,74,678,3527,2047,174,225,38,0,1043,24,13,33,4,0,0,4,-6,10,214,2242,2456,1453,9,1462,100,932,-38,994,6,52,1.5294,234064,17,20437,2,0,0,25054,3,279555,22
FC東京,FC東京,7,2012,J1,J1,3865,1385,817,227,419,1017,3622,1574,427,337,245,0,1039,243,40,4,279,0,0,279,134,145,1509,361,1870,541,0,541,1064,0,265,1329,10,48,1.4118,407243,17,20920,2,0,0,32139,3,460302,22
川崎F,川崎フロンターレ,8,2012,J1,J1,3073,1373,558,214,158,770,3005,1428,179,235,73,0,1090,68,2,1,69,0,0,69,36,33,890,98,988,334,40,374,349,31,234,614,8,50,1.4706,302719,17,29764,3,0,0,0,0,332483,20
横浜FM,横浜F・マリノス,9,2012,J1,J1,3717,1364,783,220,458,892,4217,1601,331,442,315,0,1528,-500,12,10,-499,0,130,-628,0,-629,480,11,491,2017,151,2168,31,0,-1708,-1677,4,53,1.5588,390078,17,22186,3,0,0,0,0,412264,20
新潟,アルビレックス新潟,11,2012,J1,J1,2405,941,661,220,137,446,2450,940,281,282,122,34,791,-45,134,10,79,0,0,79,35,44,605,365,970,482,63,545,712,0,-287,425,15,40,1.1765,425309,17,25808,3,0,0,0,0,451117,20
