クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
G大阪,ガンバ大阪,14,J1,2008,4399,1748,598,672,1381,4137,2304,929,904,262,171,39,1255,1120,10,124,134,8,50,1.4706,274169,17,19805,2,0,0,69753,6,363727,25
神戸,ヴィッセル神戸,16,J1,2008,2026,725,392,227,682,2505,1369,650,486,-479,-352,-354,829,1089,98,-918,-259,10,47,1.3824,220672,17,32023,3,0,0,0,0,252695,20
大分,大分トリニータ,40,J1,2008,2184,888,549,411,336,2177,1299,625,253,7,4,2,754,1313,464,-1087,-558,4,56,1.6471,345481,17,75548,5,0,0,0,0,421029,22
仙台,ベガルタ仙台,2,J2,2008,1421,394,568,126,333,1467,606,633,228,-46,35,34,873,385,453,34,488,3,70,1.6667,295679,21,0,0,18974,1,0,0,314653,22
山形,モンテディオ山形,19,J2,2008,626,90,128,123,285,716,392,198,126,-90,22,22,173,151,0,22,22,2,78,1.8571,131725,21,0,0,0,0,0,0,131725,21
水戸,水戸ホーリーホック,20,J2,2008,349,102,44,112,91,361,159,97,105,-12,-9,-9,116,142,52,-152,-25,11,47,1.1190,63933,21,0,0,0,0,0,0,63933,21
草津,ザスパ草津,21,J2,2008,544,243,81,124,96,528,196,198,134,16,12,7,98,156,159,-221,-58,9,53,1.2619,88510,21,0,0,0,0,0,0,88510,21
横浜FC,横浜FC,25,J2,2008,1164,541,158,110,355,1292,461,543,288,-128,-127,-128,306,529,228,-451,-223,10,50,1.1905,142655,21,0,0,0,0,0,0,142655,21
湘南,湘南ベルマーレ,26,J2,2008,930,341,142,111,336,1062,542,247,273,-132,-131,-132,392,375,474,-563,16,5,65,1.5476,125865,21,0,0,0,0,0,0,125865,21
甲府,ヴァンフォーレ甲府,10,J2,2008,1263,647,276,99,241,1236,587,324,325,26,31,24,506,297,367,-157,209,7,59,1.4048,217428,21,0,0,0,0,0,0,217428,21
岐阜,FC岐阜,30,J2,2008,401,115,80,108,97,477,178,207,92,-76,-85,-86,82,224,79,-298,-141,13,42,1.0000,78650,21,0,0,0,0,0,0,78650,21
C大阪,セレッソ大阪,15,J2,2008,1940,1293,216,106,325,1999,824,624,551,-59,-57,-64,543,291,315,-63,251,4,69,1.6429,221629,21,0,0,0,0,0,0,221629,21
広島,サンフレッチェ広島,17,J2,2008,2287,1191,428,148,520,2534,1209,893,432,-247,-254,-219,810,476,2110,-1776,333,1,100,2.3810,227631,21,0,0,0,0,0,0,227631,21
徳島,徳島ヴォルティス,35,J2,2008,638,323,22,105,188,651,280,179,192,-13,18,17,456,66,409,-19,389,15,29,0.6905,81093,21,0,0,0,0,0,0,81093,21
愛媛,愛媛FC,36,J2,2008,492,177,56,111,148,491,191,141,159,1,1,1,240,28,208,3,211,14,37,0.8810,77775,21,0,0,0,0,0,0,77775,21
福岡,アビスパ福岡,37,J2,2008,1157,552,245,110,250,1209,559,371,279,-52,-60,-61,437,273,125,-157,164,8,58,1.3810,211651,21,0,0,0,0,0,0,211651,21
鳥栖,サガン鳥栖,18,J2,2008,702,263,170,121,148,695,317,151,227,7,6,5,215,89,454,-633,126,6,64,1.5238,152486,21,0,0,0,0,0,0,152486,21
熊本,ロアッソ熊本,39,J2,2008,537,239,72,118,108,532,204,205,123,5,6,5,165,270,150,-255,-105,12,43,1.0238,110860,21,0,0,0,0,0,0,110860,21
