クラブ,正式名称,id,所属,年,営業収入,広告料収入,入場料収入,Jリーグ配分金,その他収入,営業費用,チーム人件費,事業費,販売費および一般管理費,営業利益,経常利益,当期純利益,総資産,総負債,資本金,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
札幌,コンサドーレ札幌,1,J1,2008,1618,605,520,261,232,1770,787,710,273,-152,-8,-28,1196,1132,795,-731,64,18,18,0.5294,247305,17,20980,3,0,0,0,0,294403,24
鹿島,鹿島アントラーズ,3,J1,2008,4180,1664,675,509,1332,4063,1850,1268,945,117,132,52,2387,632,1570,37,1754,1,63,1.8529,335140,17,6757,1,0,0,26118,4,368015,22
浦和,浦和レッズ,4,J1,2008,7091,2374,2866,350,1501,7057,2406,3743,908,34,21,24,2116,1548,160,408,568,7,53,1.5588,809353,17,84782,3,0,0,95077,2,989212,22
大宮,大宮アルディージャ,5,J1,2008,3059,2165,324,228,342,3046,1565,1026,455,13,1,-2,1015,1004,100,-328,11,12,43,1.2647,158944,17,20512,3,0,0,0,0,179456,20
千葉,ジェフユナイテッド千葉,22,J1,2008,3564,1324,595,252,1394,3173,1612,1247,315,391,389,-11,992,562,100,330,430,15,38,1.1176,239436,17,39744,4,0,0,0,0,279180,21
柏,柏レイソル,6,J1,2008,2997,1874,460,236,427,3048,1694,843,511,-51,-68,-67,553,717,22,-185,-163,11,46,1.3529,209229,17,21491,3,0,0,0,0,230720,20
FC東京,FC東京,7,J1,2008,3433,1251,765,276,1141,3562,1570,1133,859,-129,-124,-125,833,389,863,-418,444,6,55,1.6176,437176,17,49908,4,0,0,0,0,487084,21
東京V,東京ヴェルディ,23,J1,2008,4144,419,371,251,3103,4134,2622,1127,385,10,1,1,1844,1835,89,-80,8,17,37,1.0882,252231,17,25071,3,0,0,0,0,277302,20
川崎F,川崎フロンターレ,8,J1,2008,3320,1857,484,354,625,3250,1743,978,529,70,41,9,1075,549,349,145,525,2,60,1.7647,298597,17,28037,3,0,0,0,0,326634,20
横浜FM,横浜F・マリノス,9,J1,2008,4092,1836,859,279,1118,4089,1290,1414,1385,2,0,0,1426,1511,30,-122,-85,9,48,1.4118,402593,17,30784,4,0,0,0,0,433377,21
新潟,アルビレックス新潟,11,J1,2008,2590,950,831,245,564,2720,1208,924,588,-130,-45,-46,1043,827,712,-496,216,13,42,1.2353,586325,17,67279,3,0,0,0,0,653604,20
清水,清水エスパルス,12,J1,2008,3457,1354,634,373,1096,3451,1484,1423,544,6,12,2,1241,748,550,-56,493,5,55,1.6176,282190,17,47599,5,0,0,0,0,329789,22
磐田,ジュビロ磐田,13,J1,2008,3387,1882,582,266,657,3659,1657,1394,608,-272,-257,-258,1343,1220,679,-556,122,16,37,1.0882,262911,17,28299,3,16693,1,0,0,307903,21
名古屋,名古屋グランパス,29,J1,2008,4071,2284,767,376,644,3971,2005,1427,539,100,120,101,873,297,400,176,576,3,59,1.7353,281442,17,44715,5,0,0,0,0,326157,22
京都,京都サンガF.C.,31,J1,2008,2502,1571,450,233,248,2505,1334,761,410,-3,3,1,1577,1304,3605,-3332,272,14,41,1.2059,232671,17,31662,3,0,0,0,0,264333,20
