クラブ,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
群馬,ザスパクサツ群馬,21,2014,J2,J1,555,261,79,90,3,122,480,168,51,74,19,0,168,75,5,0,80,0,1,79,8,71,175,12,187,159,0,159,240,83,-295,28,18,49,1.1667,78961,21,0,0,0,0,0,0,78961,21
千葉,ジェフユナイテッド千葉,22,2014,J2,J1,2300,1537,315,98,65,285,2338,1065,140,279,92,68,694,-38,4,7,-41,0,48,-89,0,-89,369,943,1313,576,287,863,490,390,-429,450,3,68,1.6190,195999,21,0,0,0,0,0,0,195999,21
東京V,東京ヴェルディ,23,2014,J2,J1,1220,561,187,92,174,206,1216,346,124,224,97,38,387,4,3,2,5,0,0,5,0,5,409,19,428,343,60,403,282,242,-499,25,20,42,1.0000,114023,21,0,0,0,0,0,0,114023,21
横浜FC,横浜FC,25,2014,J2,J1,1042,558,167,89,44,185,1064,493,68,168,43,0,293,-23,1,3,-25,0,0,-25,0,-26,199,138,337,253,77,331,344,115,-453,6,11,55,1.3095,108064,21,0,0,0,0,0,0,108064,21
湘南,湘南ベルマーレ,26,2014,J2,J1,1121,453,225,93,0,350,1126,452,76,87,0,0,511,-5,11,3,3,0,0,3,1,2,241,80,321,239,60,299,630,261,-869,22,1,101,2.4048,178041,21,0,0,0,0,0,0,178041,21
松本,松本山雅FC,27,2014,J2,J1,1185,431,295,101,5,353,1203,443,152,123,5,0,480,-18,27,0,9,0,5,4,4,0,206,108,314,144,3,147,128,0,39,167,2,83,1.9762,267402,21,0,0,0,0,0,0,267402,21
富山,カターレ富山,48,2014,J2,J1,735,422,80,90,57,86,706,299,60,111,24,0,212,29,1,0,30,0,0,30,0,30,238,8,246,153,8,161,97,28,-41,84,22,23,0.5476,89596,21,0,0,0,0,0,0,89596,21
磐田,ジュビロ磐田,13,2014,J2,J1,3027,1583,374,101,159,810,3004,1352,298,244,164,0,946,23,29,6,46,0,0,46,22,24,691,544,1235,411,62,473,679,0,83,762,4,67,1.5952,184261,21,0,0,11239,1,0,0,195500,22
岐阜,FC岐阜,30,2014,J2,J2,831,380,140,95,89,127,979,503,90,140,48,0,198,-148,2,1,-147,87,0,-60,3,-63,205,21,226,138,0,138,269,267,-447,89,17,49,1.1667,159259,21,0,0,0,0,0,0,159259,21
京都,京都サンガF.C.,31,2014,J2,J1,1761,1136,229,100,138,158,1667,695,128,155,129,0,560,94,19,41,72,0,0,72,11,61,941,96,1037,471,32,503,3605,0,-3070,535,9,60,1.4286,157911,21,0,0,0,0,0,0,157911,21
岡山,ファジアーノ岡山,32,2014,J2,J1,1103,472,161,101,84,285,1100,499,85,94,20,0,402,3,1,3,1,0,0,1,0,1,530,28,558,421,10,431,98,36,-7,127,8,61,1.4524,176477,21,0,0,0,0,0,0,176477,21
